scholarship_id,scheme_name,provider,min_age,max_age,max_income,category,education_level,benefit_amount,deadline_date,application_link,documents_required,state,priority_score
1,Merit Scholarship 1,NGO,16,32,250000.0,General,School,59430,2026-07-17,https://scholarships.gov.in/scheme/1,Caste Certificate; Bank Details; Aadhaar,Delhi,0.241
2,Pre Matric Scholarship 2,Private Trust,12,24,800000.0,General,PG,85690,2026-07-02,https://scholarships.gov.in/scheme/2,Caste Certificate; Income Certificate,All India,0.347
3,Merit Scholarship 3,Central Govt,13,22,350000.0,OBC,UG,22573,2026-04-26,https://scholarships.gov.in/scheme/3,Bank Details; Caste Certificate,Delhi,0.106
4,Rural Development Scholarship 4,NGO,13,26,100000.0,General,PG,24244,2026-07-03,https://scholarships.gov.in/scheme/4,Marksheet; Bank Details,Karnataka,0.101
5,Education Support Scholarship 5,State Govt,12,23,350000.0,All,UG,32468,2026-05-26,https://scholarships.gov.in/scheme/5,Caste Certificate; Income Certificate; Bank Details; Aadhaar,Delhi,0.137
6,Merit Scholarship 6,Private Trust,13,17,100000.0,OBC,PG,35083,2026-05-26,https://scholarships.gov.in/scheme/6,Aadhaar; Bank Details; Marksheet; Income Certificate,All India,0.148
7,Pre Matric Scholarship 7,State Govt,14,24,,ST,UG,21980,2026-06-28,https://scholarships.gov.in/scheme/7,Income Certificate; Bank Details; Marksheet; Aadhaar,Karnataka,0.092
8,Women Empowerment Scholarship 8,Central Govt,13,21,500000.0,SC,PG,31249,2026-09-24,https://scholarships.gov.in/scheme/8,Caste Certificate; Marksheet,Tamil Nadu,0.127
9,Post Matric Scholarship 9,State Govt,17,33,100000.0,All,PG,28405,2026-05-25,https://scholarships.gov.in/scheme/9,Bank Details; Marksheet; Income Certificate,Delhi,0.121
10,Education Support Scholarship 10,Central Govt,15,22,800000.0,SC,School,5236,2026-05-29,https://scholarships.gov.in/scheme/10,Caste Certificate; Aadhaar; Income Certificate,All India,0.028
11,Higher Education Scholarship 11,State Govt,13,32,500000.0,ST,UG,46559,2026-05-23,https://scholarships.gov.in/scheme/11,Income Certificate; Caste Certificate; Marksheet; Aadhaar,Tamil Nadu,0.194
12,Post Matric Scholarship 12,Private Trust,17,32,100000.0,OBC,UG,66452,2026-05-15,https://scholarships.gov.in/scheme/12,Bank Details; Caste Certificate,Delhi,0.275
13,Talent Scholarship 13,Private Trust,17,31,100000.0,OBC,UG,63211,2026-09-06,https://scholarships.gov.in/scheme/13,Marksheet; Bank Details,All India,0.255
14,Women Empowerment Scholarship 14,Private Trust,13,27,800000.0,SC,School,23855,2026-05-16,https://scholarships.gov.in/scheme/14,Marksheet; Income Certificate,Karnataka,0.104
15,Post Matric Scholarship 15,State Govt,16,30,100000.0,ST,UG,19692,2026-06-07,https://scholarships.gov.in/scheme/15,Aadhaar; Caste Certificate; Bank Details; Marksheet,Karnataka,0.085
16,Minority Scholarship 16,Central Govt,12,30,350000.0,SC,School,64185,2026-08-19,https://scholarships.gov.in/scheme/16,Income Certificate; Caste Certificate; Aadhaar; Marksheet,Maharashtra,0.236
17,Excellence Scholarship 17,Central Govt,12,14,100000.0,ST,UG,60953,2026-05-16,https://scholarships.gov.in/scheme/17,Caste Certificate; Aadhaar; Marksheet; Income Certificate,Karnataka,0.253
18,Pre Matric Scholarship 18,Private Trust,10,19,500000.0,All,PG,45208,2026-04-17,https://scholarships.gov.in/scheme/18,Income Certificate; Caste Certificate; Marksheet,Karnataka,0.206
19,Merit Scholarship 19,Private Trust,10,27,500000.0,All,PG,84068,2026-05-12,https://scholarships.gov.in/scheme/19,Marksheet; Income Certificate; Caste Certificate; Bank Details,Tamil Nadu,0.346
20,Women Empowerment Scholarship 20,Central Govt,13,22,350000.0,All,PG,6283,2026-05-10,https://scholarships.gov.in/scheme/20,Bank Details; Income Certificate,Karnataka,0.035
21,Rural Development Scholarship 21,Private Trust,12,18,500000.0,All,School,11987,2026-08-25,https://scholarships.gov.in/scheme/21,Income Certificate; Caste Certificate; Aadhaar; Bank Details,Maharashtra,0.051
22,Excellence Scholarship 22,Private Trust,12,22,800000.0,OBC,School,63526,2026-04-20,https://scholarships.gov.in/scheme/22,Caste Certificate; Marksheet; Bank Details,Maharashtra,0.275
23,Education Support Scholarship 23,Central Govt,11,25,800000.0,ST,School,44514,2026-05-27,https://scholarships.gov.in/scheme/23,Bank Details; Income Certificate,Delhi,0.185
24,Post Matric Scholarship 24,State Govt,17,22,500000.0,General,UG,36597,2026-09-03,https://scholarships.gov.in/scheme/24,Bank Details; Caste Certificate; Marksheet; Income Certificate,All India,0.149
25,Post Matric Scholarship 25,NGO,14,30,800000.0,SC,UG,16322,2026-09-12,https://scholarships.gov.in/scheme/25,Bank Details; Income Certificate; Marksheet; Aadhaar,All India,0.068
26,Higher Education Scholarship 26,NGO,12,32,250000.0,SC,PG,62311,2026-06-30,https://scholarships.gov.in/scheme/26,Aadhaar; Bank Details; Marksheet,Tamil Nadu,0.254
27,Excellence Scholarship 27,Central Govt,11,25,250000.0,SC,UG,21690,2026-05-03,https://scholarships.gov.in/scheme/27,Bank Details; Marksheet; Caste Certificate,Maharashtra,0.099
28,Talent Scholarship 28,NGO,15,27,250000.0,All,School,30515,2026-08-11,https://scholarships.gov.in/scheme/28,Aadhaar; Bank Details; Marksheet,Delhi,0.125
29,Education Support Scholarship 29,NGO,16,24,100000.0,General,PG,32254,2026-05-02,https://scholarships.gov.in/scheme/29,Marksheet; Income Certificate; Bank Details,Karnataka,0.142
30,Higher Education Scholarship 30,NGO,10,31,350000.0,ST,UG,53828,2026-04-08,https://scholarships.gov.in/scheme/30,Aadhaar; Income Certificate; Marksheet; Bank Details,Delhi,0.272
31,Women Empowerment Scholarship 31,Central Govt,15,24,500000.0,All,School,5000,2026-05-26,https://scholarships.gov.in/scheme/31,Bank Details; Income Certificate; Caste Certificate,All India,0.027
32,Merit Scholarship 32,Central Govt,13,29,350000.0,OBC,School,128309,2026-06-03,https://scholarships.gov.in/scheme/32,Caste Certificate; Aadhaar; Bank Details,Delhi,0.52
33,Pre Matric Scholarship 33,NGO,17,34,500000.0,SC,School,5000,2026-06-06,https://scholarships.gov.in/scheme/33,Aadhaar; Marksheet,Maharashtra,0.026
34,Post Matric Scholarship 34,NGO,11,32,500000.0,OBC,School,85703,2026-04-17,https://scholarships.gov.in/scheme/34,Aadhaar; Caste Certificate; Income Certificate,All India,0.337
35,Excellence Scholarship 35,Private Trust,16,19,250000.0,All,PG,17250,2026-06-25,https://scholarships.gov.in/scheme/35,Aadhaar; Bank Details; Income Certificate; Caste Certificate,Maharashtra,0.074
36,Rural Development Scholarship 36,Private Trust,10,13,100000.0,All,PG,53722,2026-08-13,https://scholarships.gov.in/scheme/36,Income Certificate; Caste Certificate; Aadhaar,Delhi,0.218
37,Talent Scholarship 37,NGO,16,22,350000.0,SC,UG,77110,2026-08-09,https://scholarships.gov.in/scheme/37,Marksheet; Bank Details; Caste Certificate,Karnataka,0.312
38,Excellence Scholarship 38,Central Govt,14,27,250000.0,General,UG,5000,2026-09-12,https://scholarships.gov.in/scheme/38,Caste Certificate; Income Certificate; Marksheet,Delhi,0.022
39,Rural Development Scholarship 39,NGO,17,25,800000.0,ST,School,74284,2026-08-06,https://scholarships.gov.in/scheme/39,Bank Details; Aadhaar,All India,0.3
40,Talent Scholarship 40,State Govt,16,23,100000.0,SC,PG,62557,2026-04-29,https://scholarships.gov.in/scheme/40,Caste Certificate; Marksheet,Maharashtra,0.265
41,Higher Education Scholarship 41,NGO,13,16,250000.0,All,UG,57605,2026-08-27,https://scholarships.gov.in/scheme/41,Aadhaar; Marksheet,All India,0.233
42,Rural Development Scholarship 42,State Govt,10,17,250000.0,All,UG,105713,2026-07-07,https://scholarships.gov.in/scheme/42,Income Certificate; Marksheet; Aadhaar; Caste Certificate,Karnataka,0.427
43,Higher Education Scholarship 43,State Govt,13,18,350000.0,OBC,School,40274,2026-08-30,https://scholarships.gov.in/scheme/43,Marksheet; Caste Certificate; Income Certificate; Aadhaar,Karnataka,0.164
44,Merit Scholarship 44,Private Trust,13,23,250000.0,SC,UG,29033,2026-09-13,https://scholarships.gov.in/scheme/44,Income Certificate; Bank Details; Marksheet; Caste Certificate,Karnataka,0.119
45,Higher Education Scholarship 45,NGO,11,20,500000.0,SC,UG,28352,2026-09-03,https://scholarships.gov.in/scheme/45,Marksheet; Caste Certificate; Income Certificate; Aadhaar,Delhi,0.116
46,Post Matric Scholarship 46,Central Govt,15,26,800000.0,General,UG,13434,2026-07-13,https://scholarships.gov.in/scheme/46,Aadhaar; Income Certificate; Caste Certificate; Bank Details,All India,0.058
47,Rural Development Scholarship 47,Central Govt,13,30,100000.0,SC,School,46823,2026-06-04,https://scholarships.gov.in/scheme/47,Income Certificate; Aadhaar,Maharashtra,0.194
48,Education Support Scholarship 48,Private Trust,11,13,800000.0,OBC,PG,79214,2026-05-23,https://scholarships.gov.in/scheme/48,Aadhaar; Income Certificate; Bank Details,All India,0.325
49,Women Empowerment Scholarship 49,Private Trust,13,19,500000.0,ST,PG,47796,2026-04-14,https://scholarships.gov.in/scheme/49,Caste Certificate; Marksheet,Tamil Nadu,0.222
50,Pre Matric Scholarship 50,Central Govt,12,32,100000.0,ST,UG,63454,2026-05-23,https://scholarships.gov.in/scheme/50,Aadhaar; Caste Certificate; Marksheet; Income Certificate,All India,0.262
51,Merit Scholarship 51,Central Govt,13,15,250000.0,ST,PG,19599,2026-09-16,https://scholarships.gov.in/scheme/51,Caste Certificate; Marksheet; Income Certificate,Tamil Nadu,0.081
52,Talent Scholarship 52,State Govt,17,22,100000.0,ST,PG,46967,2026-07-26,https://scholarships.gov.in/scheme/52,Marksheet; Caste Certificate; Aadhaar,Tamil Nadu,0.191
53,Excellence Scholarship 53,Private Trust,10,14,100000.0,General,PG,35710,2026-09-15,https://scholarships.gov.in/scheme/53,Aadhaar; Caste Certificate,Tamil Nadu,0.145
54,Rural Development Scholarship 54,NGO,10,15,100000.0,All,PG,5000,2026-09-13,https://scholarships.gov.in/scheme/54,Marksheet; Caste Certificate,Maharashtra,0.022
55,Women Empowerment Scholarship 55,Private Trust,15,32,250000.0,General,School,63099,2026-08-18,https://scholarships.gov.in/scheme/55,Caste Certificate; Income Certificate; Aadhaar; Marksheet,Karnataka,0.255
56,Excellence Scholarship 56,State Govt,10,12,350000.0,OBC,UG,78051,2026-07-29,https://scholarships.gov.in/scheme/56,Aadhaar; Bank Details; Income Certificate,Maharashtra,0.316
57,Higher Education Scholarship 57,State Govt,16,31,250000.0,All,UG,49476,2026-05-26,https://scholarships.gov.in/scheme/57,Marksheet; Income Certificate; Bank Details,All India,0.205
58,Post Matric Scholarship 58,State Govt,17,29,250000.0,ST,School,41778,2026-05-02,https://scholarships.gov.in/scheme/58,Aadhaar; Caste Certificate; Marksheet,Karnataka,0.18
